2023-08-30 18:36:03 startup packages remove
2023-08-30 18:36:03 status installed firefox:arm64 90.0+build1-0ubuntu0.18.04.1
2023-08-30 18:36:15 remove firefox:arm64 90.0+build1-0ubuntu0.18.04.1 <none>
2023-08-30 18:36:15 status half-configured firefox:arm64 90.0+build1-0ubuntu0.18.04.1
2023-08-30 18:36:15 status half-installed firefox:arm64 90.0+build1-0ubuntu0.18.04.1
2023-08-30 18:36:15 status triggers-pending man-db:arm64 2.8.3-2ubuntu0.1
2023-08-30 18:36:15 status triggers-pending hicolor-icon-theme:all 0.17-2
2023-08-30 18:36:15 status triggers-pending desktop-file-utils:arm64 0.23-1ubuntu3.18.04.2
2023-08-30 18:36:15 status triggers-pending mime-support:all 3.60ubuntu1
2023-08-30 18:36:17 status config-files firefox:arm64 90.0+build1-0ubuntu0.18.04.1
2023-08-30 18:36:17 status config-files firefox:arm64 90.0+build1-0ubuntu0.18.04.1
2023-08-30 18:36:17 startup packages configure
2023-08-30 18:36:17 trigproc desktop-file-utils:arm64 0.23-1ubuntu3.18.04.2 <none>
2023-08-30 18:36:17 status half-configured desktop-file-utils:arm64 0.23-1ubuntu3.18.04.2
2023-08-30 18:36:18 status installed desktop-file-utils:arm64 0.23-1ubuntu3.18.04.2
2023-08-30 18:36:18 trigproc man-db:arm64 2.8.3-2ubuntu0.1 <none>
2023-08-30 18:36:18 status half-configured man-db:arm64 2.8.3-2ubuntu0.1
2023-08-30 18:36:20 status installed man-db:arm64 2.8.3-2ubuntu0.1
2023-08-30 18:36:20 trigproc hicolor-icon-theme:all 0.17-2 <none>
2023-08-30 18:36:20 status half-configured hicolor-icon-theme:all 0.17-2
2023-08-30 18:36:23 status installed hicolor-icon-theme:all 0.17-2
2023-08-30 18:36:23 trigproc mime-support:all 3.60ubuntu1 <none>
2023-08-30 18:36:23 status half-configured mime-support:all 3.60ubuntu1
2023-08-30 18:36:24 status installed mime-support:all 3.60ubuntu1
2023-08-30 19:24:49 startup archives unpack
2023-08-30 19:25:00 install exfat-fuse:arm64 <none> 1.2.8-1
2023-08-30 19:25:00 status half-installed exfat-fuse:arm64 1.2.8-1
2023-08-30 19:25:01 status triggers-pending man-db:arm64 2.8.3-2ubuntu0.1
2023-08-30 19:25:01 status unpacked exfat-fuse:arm64 1.2.8-1
2023-08-30 19:25:01 status unpacked exfat-fuse:arm64 1.2.8-1
